,Geographic Area Name,State,Total Population,Population per square kilometer (Population Density),Population 65 Years and Over,Percent of Population that is 65 Years and Over,Percentage of people whose income in the past 12 months is below the poverty level
1811,McKinley County,New Mexico,72849,5.16030339625025,8412,11.5,36.0
1812,Mora County,New Mexico,4563,0.914618966858049,1151,25.2,19.3
1813,Otero County,New Mexico,65745,3.83879753290973,10952,16.7,21.2
1814,Quay County,New Mexico,8373,1.12489908444062,2026,24.2,22.1
1815,Rio Arriba County,New Mexico,39307,2.589464260407,7083,18.0,-888888888.0
1816,Roosevelt County,New Mexico,19117,3.0175638902858,2574,13.5,25.6
1817,Sandoval County,New Mexico,140769,14.6494872160229,23111,16.4,14.3
1818,San Juan County,New Mexico,127455,8.9194931305282,17443,13.7,21.3
1819,San Miguel County,New Mexico,28034,2.29248222295196,5536,19.7,27.7
1820,Santa Fe County,New Mexico,148917,30.1017089438977,32763,22.0,12.8
1821,Sierra County,New Mexico,11135,1.0282338731565,3918,35.2,24.9
1822,Socorro County,New Mexico,17000,0.987564720796829,3142,18.5,29.1
1823,Taos County,New Mexico,32888,5.76565772966595,7976,24.3,19.4
1824,Torrance County,New Mexico,15595,1.79996145030814,3001,19.2,25.8
1825,Union County,New Mexico,4175,0.421424885932035,810,19.4,14.1
1826,Valencia County,New Mexico,75956,27.4918596066579,12596,16.6,19.5
1827,Albany County,New York,307426,227.02996827927,49416,16.1,12.0
1828,Allegany County,New York,47025,17.6385883759066,8444,18.0,17.0
1829,Bronx County,New York,1437872,13202.5153048954,174470,12.1,29.1
1830,Broome County,New York,194402,106.343621292156,35621,18.3,17.0
1831,Cattaraugus County,New York,77686,22.9255780072106,14106,18.2,16.5
1832,Cayuga County,New York,77868,43.4727628017028,13859,17.8,11.7
1833,Chautauqua County,New York,129656,47.2168675892309,24668,19.0,18.7
1834,Chemung County,New York,85740,81.2673542091461,15319,17.9,14.8
1835,Chenango County,New York,48348,20.8901345708222,9540,19.7,14.3
1836,Clinton County,New York,80794,30.0598474694122,12853,15.9,15.3
1837,Columbia County,New York,60919,37.0605209147466,13577,22.3,11.9
1838,Cortland County,New York,48123,37.2522156947986,7547,15.7,15.5
1839,Delaware County,New York,45502,12.1798207601281,10595,23.3,16.2
1840,Dutchess County,New York,293894,142.617335504333,48700,16.6,9.1
1841,Erie County,New York,919866,340.609971003819,158532,17.2,14.5
1842,Essex County,New York,37751,8.12418289523024,8322,22.0,9.5
1843,Franklin County,New York,50692,12.0133370232406,8081,15.9,18.2
1844,Fulton County,New York,53743,41.8808819984544,9981,18.6,15.5
1845,Genesee County,New York,58112,45.5173396120714,10453,18.0,11.4
1846,Greene County,New York,47617,28.4087164523863,9996,21.0,13.3
1847,Hamilton County,New York,4575,1.02855627642957,1319,28.8,6.9
1848,Herkimer County,New York,62505,17.0974541263038,12251,19.6,14.6
1849,Jefferson County,New York,114448,34.8299627651909,14619,12.8,14.2
1850,Kings County,New York,2600747,14475.0254388117,343548,13.2,21.1
1851,Lewis County,New York,26719,8.09346087624435,4620,17.3,14.1
1852,Livingston County,New York,63907,39.0568321228063,10713,16.8,13.6
1853,Madison County,New York,71359,42.0726108242752,12142,17.0,9.9
1854,Monroe County,New York,744248,437.46040770619,121631,16.3,14.7
1855,Montgomery County,New York,49426,47.3398750969587,8965,18.1,19.9
1856,Nassau County,New York,1356564,1840.44398406769,232164,17.1,5.7
1857,New York County,New York,1632480,27819.8048012476,257362,15.8,16.6
1858,Niagara County,New York,211704,156.483123086658,38400,18.1,13.4
1859,Oneida County,New York,230782,73.4992781713988,41650,18.0,16.1
1860,Onondaga County,New York,464242,230.277362248048,75035,16.2,14.6
1861,Ontario County,New York,109472,65.6280504128795,20570,18.8,9.6
1862,Orange County,New York,378227,179.774078339202,50452,13.3,11.8
1863,Orleans County,New York,41175,40.6318800387275,6944,16.9,14.3
1864,Oswego County,New York,119104,48.3229962298602,18238,15.3,17.9
1865,Otsego County,New York,60244,23.2202272251944,12021,20.0,15.4
1866,Putnam County,New York,99070,166.078240580631,16053,16.2,5.3
1867,Queens County,New York,2298513,8158.43715313306,340656,14.8,13.0
1868,Rensselaer County,New York,159431,94.346143197678,25539,16.0,12.0
1869,Richmond County,New York,474101,3182.46932315142,73325,15.5,12.8
1870,Rockland County,New York,323686,720.588009040727,49645,15.3,14.3
1871,St. Lawrence County,New York,109558,15.7881056115879,17884,16.3,17.7
1872,Saratoga County,New York,227377,108.384222279145,38737,17.0,6.2
1873,Schenectady County,New York,154883,292.309965598494,25515,16.5,11.4
1874,Schoharie County,New York,31364,19.474654153638,6359,20.3,13.2
1875,Schuyler County,New York,17992,21.1569680947136,3604,20.0,13.9
1876,Seneca County,New York,34612,41.2832183513443,6322,18.3,12.4
1877,Steuben County,New York,96927,26.9129173214039,17889,18.5,14.0
1878,Suffolk County,New York,1487901,630.068153353716,239139,16.1,7.1
1879,Sullivan County,New York,75211,29.9948504938301,13552,18.0,14.7
1880,Tioga County,New York,49045,36.5136992174151,9435,19.2,10.5
1881,Tompkins County,New York,102962,83.7555901184546,13561,13.2,19.6
1882,Ulster County,New York,179303,61.5789541709678,33335,18.6,13.9
1883,Warren County,New York,64480,28.7068420833038,13493,20.9,10.5
1884,Washington County,New York,61828,28.7209593371976,11288,18.3,12.0
1885,Wayne County,New York,90856,58.0953851283472,16103,17.7,11.3
1886,Westchester County,New York,968815,868.763066558485,158902,16.4,9.2
1887,Wyoming County,New York,40565,26.4229817375352,6754,16.6,10.9
1888,Yates County,New York,25009,28.5560729556019,4875,19.5,11.4
1889,Alamance County,North Carolina,160576,146.419511656808,26307,16.4,16.8
1890,Alexander County,North Carolina,37119,55.1251943672117,7089,19.1,14.9
1891,Alleghany County,North Carolina,10973,18.0744226914008,2802,25.5,24.6
1892,Anson County,North Carolina,25306,18.384600030883,4343,17.2,19.8
1893,Ashe County,North Carolina,26786,24.3309623025848,6427,24.0,18.0
1894,Avery County,North Carolina,17501,27.3196093577784,3700,21.1,14.4
1895,Beaufort County,North Carolina,47243,21.92453498485,10808,22.9,19.2
1896,Bertie County,North Carolina,19644,10.8478928891382,4125,21.0,23.0
1897,Bladen County,North Carolina,33778,14.9071817006354,6752,20.0,26.0
1898,Brunswick County,North Carolina,126860,57.6797613439358,37182,29.3,12.9
1899,Buncombe County,North Carolina,254474,149.662506090872,48292,19.0,12.3
1900,Burke County,North Carolina,89712,68.4225402243607,17196,19.2,18.1
1901,Cabarrus County,North Carolina,201448,215.313756332703,25749,12.8,10.9
1902,Caldwell County,North Carolina,81779,66.9117179161751,15466,18.9,16.6
1903,Camden County,North Carolina,10447,16.7837129422984,1782,17.1,11.2
1904,Carteret County,North Carolina,68920,52.422756044479,16237,23.6,11.6
1905,Caswell County,North Carolina,22746,20.6464107271961,4590,20.2,19.6
1906,Catawba County,North Carolina,156729,150.766073781543,26739,17.1,13.2
1907,Chatham County,North Carolina,69791,39.527301860128,16306,23.4,11.9
1908,Cherokee County,North Carolina,27668,23.4507535709125,7817,28.3,16.5
1909,Chowan County,North Carolina,14205,31.7657369635657,3322,23.4,19.6
1910,Clay County,North Carolina,10813,19.4197421979206,3172,29.3,15.8
1911,Cleveland County,North Carolina,97159,80.811658964755,17418,17.9,20.2
1912,Columbus County,North Carolina,56293,23.1686056433617,10792,19.2,23.8
1913,Craven County,North Carolina,103082,56.326585997887,18543,18.0,15.3
1914,Cumberland County,North Carolina,332106,196.497859730551,37300,11.2,18.2
1915,Currituck County,North Carolina,25796,38.0238775623596,3996,15.5,10.0
1916,Dare County,North Carolina,35741,36.0092919105878,7181,20.1,8.2
1917,Davidson County,North Carolina,164664,114.931699340305,28859,17.5,15.5
1918,Davie County,North Carolina,41991,61.4831330598108,8313,19.8,13.7
1919,Duplin County,North Carolina,59062,27.9893416461902,10229,17.3,24.1
1920,Durham County,North Carolina,306457,413.06619308612,37056,12.1,16.0
1921,Edgecombe County,North Carolina,53332,40.7405047681012,9789,18.4,23.6
1922,Forsyth County,North Carolina,371573,351.818409000107,56532,15.2,17.6
1923,Franklin County,North Carolina,64902,50.9532015099171,10417,16.1,14.4
1924,Gaston County,North Carolina,216585,235.083409533329,33757,15.6,15.6
1925,Gates County,North Carolina,11563,13.1072768685675,2213,19.1,11.1
1926,Graham County,North Carolina,8557,11.3159965645021,1990,23.3,18.1
1927,Granville County,North Carolina,58874,42.7288844667276,9519,16.2,13.9
1928,Greene County,North Carolina,21008,30.4088689701276,3195,15.2,25.7
1929,Guilford County,North Carolina,523582,312.988330289208,75740,14.5,15.9
1930,Halifax County,North Carolina,51737,27.6009041605302,10103,19.5,25.2
1931,Harnett County,North Carolina,130361,84.588975370979,15414,11.8,17.0
1932,Haywood County,North Carolina,60433,42.151368754817,14548,24.1,13.9
1933,Henderson County,North Carolina,113625,117.63824081995,28504,25.1,10.6
1934,Hertford County,North Carolina,24153,26.4056869512436,4532,18.8,23.4
1935,Hoke County,North Carolina,53239,52.6909917661792,4819,9.1,21.0
1936,Hyde County,North Carolina,5393,3.4005168802052,887,16.4,22.3
1937,Iredell County,North Carolina,172525,116.010548681676,26249,15.2,11.8
1938,Jackson County,North Carolina,42256,33.2153382599592,7976,18.9,19.4
1939,Johnston County,North Carolina,191172,93.2873152867288,24306,12.7,13.3
1940,Jones County,North Carolina,9695,7.94127332458664,2053,21.2,26.2
1941,Lee County,North Carolina,60125,91.0147226202465,9498,15.8,16.1
1942,Lenoir County,North Carolina,57227,55.3650714833485,10956,19.1,23.0
1943,Lincoln County,North Carolina,81441,106.288568138999,13761,16.9,14.4
1944,McDowell County,North Carolina,45109,39.5874415520614,8795,19.5,17.1
1945,Macon County,North Carolina,34410,25.7683988640691,9653,28.1,16.6
1946,Madison County,North Carolina,21405,18.3813154925015,4486,21.0,17.6
1947,Martin County,North Carolina,23054,19.5020000597867,5030,21.8,18.2
1948,Mecklenburg County,North Carolina,1054314,777.490679020465,112217,10.6,12.7
1949,Mitchell County,North Carolina,15040,26.2459688224904,3609,24.0,14.0
1950,Montgomery County,North Carolina,27338,21.474539034621,5257,19.2,19.7
1951,Moore County,North Carolina,95629,52.9220807721414,22698,23.7,12.6
1952,Nash County,North Carolina,94003,67.1574810739487,16294,17.3,15.5
1953,New Hanover County,North Carolina,224231,450.441761812079,37427,16.7,17.3
1954,Northampton County,North Carolina,20186,14.5233689362914,4901,24.3,21.9
1955,Onslow County,North Carolina,193912,98.2620127432532,16797,8.7,13.8
1956,Orange County,North Carolina,142938,138.828001863802,18364,12.8,13.4
1957,Pamlico County,North Carolina,12742,14.6201718871648,3583,28.1,14.1
1958,Pasquotank County,North Carolina,39479,67.1849808371005,6367,16.1,16.1
1959,Pender County,North Carolina,59020,26.1538678361341,10339,17.5,15.1
1960,Perquimans County,North Carolina,13459,21.0264128004752,3583,26.6,15.5
1961,Person County,North Carolina,39305,38.6806351354581,7227,18.4,17.7
1962,Pitt County,North Carolina,177372,104.977444524324,21939,12.4,23.9
1963,Polk County,North Carolina,20458,33.2322778392825,6016,29.4,9.5
1964,Randolph County,North Carolina,142958,70.5548752774753,24213,16.9,15.8
1965,Richmond County,North Carolina,45189,36.8322533514693,7692,17.0,24.1
1966,Robeson County,North Carolina,133442,54.3898502965123,18955,14.2,28.1
1967,Rockingham County,North Carolina,91270,62.3011904217537,17708,19.4,18.0
1968,Rowan County,North Carolina,139605,105.384269738565,23456,16.8,16.5
1969,Rutherford County,North Carolina,66532,45.4305763206679,13755,20.7,18.0
1970,Sampson County,North Carolina,63561,25.9500712789802,10866,17.1,24.1
1971,Scotland County,North Carolina,35262,42.660629832262,5960,16.9,27.7
1972,Stanly County,North Carolina,61114,59.7183546413079,11242,18.4,14.3
1973,Stokes County,North Carolina,45905,39.4732311618611,9098,19.8,13.6
1974,Surry County,North Carolina,72099,52.1554812049529,14189,19.7,16.9
1975,Swain County,North Carolina,14254,10.4286588652953,2731,19.2,17.3
1976,Transylvania County,North Carolina,33513,34.1920020784264,9725,29.0,14.7
1977,Tyrrell County,North Carolina,4119,4.0697401943367,876,21.3,25.2
1978,Union County,North Carolina,226694,138.34154055311,27269,12.0,8.9
1979,Vance County,North Carolina,44482,68.0456695818943,7746,17.4,23.9
1980,Wake County,North Carolina,1046558,484.029322859143,113852,10.9,9.8
1981,Warren County,North Carolina,20033,18.0248036504099,4736,23.6,19.2
1982,Washington County,North Carolina,12156,13.5449506720942,2774,22.8,23.5
1983,Watauga County,North Carolina,54117,66.8804341673575,8200,15.2,27.2
1984,Wayne County,North Carolina,124002,86.4343321131916,19322,15.6,21.4
1985,Wilkes County,North Carolina,68460,35.0313463388409,14007,20.5,19.9
1986,Wilson County,North Carolina,81336,85.4358274190614,13809,17.0,21.5
1987,Yadkin County,North Carolina,37665,43.4180624285547,7208,19.1,15.3
1988,Yancey County,North Carolina,17667,21.8216170882478,4379,24.8,19.2
1989,Adams County,North Dakota,2351,0.919113297788114,550,23.4,8.3
1990,Barnes County,North Dakota,10836,2.80499578011216,2293,21.2,10.5
1991,Benson County,North Dakota,6886,1.91460249713335,902,13.1,34.8
1992,Billings County,North Dakota,946,0.317931699135699,150,15.9,8.6
1993,Bottineau County,North Dakota,6589,1.52480916299403,1477,22.4,10.1
1994,Bowman County,North Dakota,3195,1.06170647327122,642,20.1,7.8
1995,Burke County,North Dakota,2213,0.774245881869597,340,15.4,6.6
1996,Burleigh County,North Dakota,93737,22.1694150960771,14205,15.2,8.3
1997,Cass County,North Dakota,174202,38.1081885053288,19598,11.3,10.7
1998,Cavalier County,North Dakota,3824,0.991599940895769,1030,26.9,10.0
1999,Dickey County,North Dakota,4970,1.69595927758403,1047,21.1,5.3
